district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Moncloa,"calle del Rector Royo-Villanova, 10",2,es,flat,true,5,true,Madrid,Ciudad Universitaria,false,530000.0,3442.0,100126403,flat,Madrid,3,154.0,good,1540750.6917562725,low,2024-09-17
Chamartín,barrio El Viso,5,es,chalet,,,,Madrid,El Viso,false,3200000.0,7805.0,100146519,chalet,Madrid,7,410.0,renew,1658541.416,high,2024-09-17
Moncloa,barrio Argüelles,2,es,flat,true,2,true,Madrid,Argüelles,true,1150000.0,7516.0,100161698,flat,Madrid,3,153.0,newdevelopment,1540750.6917562725,low,2024-09-17
Encinar de los Reyes,calle de San Enrique de Ossó,6,es,chalet,,,,La Moraleja,,false,1860000.0,5345.0,100169446,chalet,Madrid,6,348.0,good,1413482.142857143,high,2024-09-17
Centro,calle de Manuela Malasaña,3,es,flat,true,3,true,Madrid,Malasaña-Universidad,false,779000.0,7713.0,100171022,flat,Madrid,3,101.0,good,769398.6464032421,medium,2024-09-17
Centro,barrio Sol,3,es,flat,true,2,true,Madrid,Sol,false,1248000.0,6367.0,100203502,flat,Madrid,3,196.0,good,769398.6464032421,high,2024-09-17
Ciudad Lineal,barrio San Juan Bautista,4,es,flat,true,4,true,Madrid,San Juan Bautista,false,1175000.0,3133.0,100244599,duplex,Madrid,5,375.0,good,584258.3493449781,high,2024-09-17
Barrio de Salamanca,calle de Serrano,4,es,flat,false,1,true,Madrid,Castellana,false,1275000.0,10200.0,100260573,flat,Madrid,3,125.0,good,1569158.038243626,low,2024-09-17
San Nicasio - Campo de Tiro - Solagua,"Urano, 2",2,es,flat,true,1,true,Leganés,Poza del Agua,true,447300.0,3415.0,100265025,flat,Madrid,4,131.0,newdevelopment,360424.4,high,2024-09-17
Chamartín,barrio El Viso,2,es,flat,true,3,true,Madrid,El Viso,false,1500000.0,8929.0,100313608,flat,Madrid,2,168.0,good,1658541.416,medium,2024-09-17
Barrio de Salamanca,barrio Goya,3,es,flat,true,2,true,Madrid,Goya,false,1390000.0,9720.0,100395278,flat,Madrid,3,143.0,good,1569158.038243626,low,2024-09-17
Latina,paseo del Marqués de Monistrol,3,es,flat,true,4,true,Madrid,Puerta del Ángel,false,749000.0,3901.0,100444019,flat,Madrid,6,192.0,good,292681.8390804598,high,2024-09-17
Parque oeste - Fuente Cisneros,barrio Parque oeste - Fuente Cisneros,2,es,flat,true,4,true,Alcorcón,Parque oeste - Fuente Cisneros,false,400000.0,2703.0,100505031,flat,Madrid,3,148.0,good,429500.0,medium,2024-09-17
Barrio de Salamanca,Francisca Moreno,3,es,flat,true,1,true,Madrid,Goya,false,1800000.0,6429.0,100508043,flat,Madrid,4,280.0,renew,1569158.038243626,high,2024-09-17
La Moraleja urbanización,La Moraleja urbanización,8,es,chalet,,,,La Moraleja,,false,3400000.0,3417.0,100508867,chalet,Madrid,9,995.0,good,3082447.8260869565,high,2024-09-17
Chamberí,calle del Robledillo,2,es,flat,true,6,true,Madrid,Nuevos Ministerios-Ríos Rosas,false,1150000.0,14744.0,100531606,flat,Madrid,2,78.0,good,1240040.1756756757,medium,2024-09-17
Tetuán,"calle Sauco , 19",1,es,flat,true,,true,Madrid,Berruguete,true,389000.0,5329.0,100582097,penthouse,Madrid,1,73.0,newdevelopment,568637.182572614,low,2024-09-17
Centro,calle de Esparteros,1,es,flat,false,3,true,Madrid,Sol,false,899000.0,6243.0,100601362,flat,Madrid,5,144.0,renew,769398.6464032421,high,2024-09-17
Centro,calle Magdalena,2,es,flat,true,0,true,Madrid,Lavapiés-Embajadores,false,675000.0,2576.0,100638364,duplex,Madrid,2,262.0,good,769398.6464032421,low,2024-09-17
Tetuán,calle de las Zinias,1,es,flat,true,1,false,Madrid,Berruguete,false,225000.0,3000.0,100644477,flat,Madrid,2,75.0,renew,568637.182572614,low,2024-09-17
Barrio de Salamanca,barrio Recoletos,2,es,flat,true,3,true,Madrid,Recoletos,false,1100000.0,9402.0,100652284,flat,Madrid,3,117.0,renew,1569158.038243626,low,2024-09-17
Fuencarral,barrio Mirasierra,11,es,chalet,,,,Madrid,Mirasierra,false,2800000.0,2262.0,100664889,chalet,Madrid,11,1238.0,good,1052016.2767857143,high,2024-09-17
Chamberí,barrio Almagro,4,es,flat,true,3,true,Madrid,Almagro,false,2690000.0,9963.0,100746640,flat,Madrid,5,270.0,good,1240040.1756756757,high,2024-09-17
Yucatán- Las Cornisas,barrio Yucatán- Las Cornisas,7,es,chalet,,,,Las Rozas de Madrid,Yucatán- Las Cornisas,false,1875000.0,1892.0,100826966,chalet,Madrid,6,991.0,good,1695666.6666666667,high,2024-09-17
Arganzuela,barrio Legazpi,2,es,flat,true,5,true,Madrid,Legazpi,false,1150000.0,5750.0,100843571,flat,Madrid,4,200.0,good,457697.83419689117,high,2024-09-17
Chamartín,Abedul,3,es,flat,true,0,true,Madrid,Nueva España,false,2490000.0,4199.0,100843738,flat,Madrid,4,593.0,good,1658541.416,high,2024-09-17
Fuencarral,calle Marqués de Villabrágima,7,es,chalet,,,,Madrid,Peñagrande,false,1237000.0,2540.0,100890013,chalet,Madrid,8,487.0,good,1052016.2767857143,high,2024-09-17
Centro,barrio Palacio,1,es,flat,true,3,true,Madrid,Palacio,false,580000.0,5686.0,100907606,flat,Madrid,3,102.0,good,769398.6464032421,low,2024-09-17
Chamartín,"calle de San Juan de la Salle, 5",3,es,flat,true,3,true,Madrid,El Viso,false,1375000.0,5567.0,100914103,flat,Madrid,5,247.0,renew,1658541.416,low,2024-09-17
Barrio de Salamanca,"calle de Roberto Domingo, 1",3,es,flat,true,7,true,Madrid,Guindalera,false,1650000.0,11074.0,100972482,penthouse,Madrid,3,149.0,good,1569158.038243626,medium,2024-09-17
Centro,calle de Fuencarral,2,es,flat,false,4,true,Madrid,Chueca-Justicia,false,690000.0,9200.0,100975684,flat,Madrid,2,75.0,good,769398.6464032421,low,2024-09-17
Barrio de Salamanca,calle de las Mártires Concepcionistas,3,es,flat,true,1,true,Madrid,Goya,false,1370000.0,4790.0,100980412,flat,Madrid,4,286.0,good,1569158.038243626,low,2024-09-17
Zona Pueblo,barrio Zona Pueblo,6,es,chalet,,,,Pozuelo de Alarcón,Zona Pueblo,false,1615000.0,4017.0,101077042,chalet,Madrid,6,402.0,good,1355664.450980392,high,2024-09-17
Tetuán,"paseo de la Dirección, 161",1,es,flat,true,5,true,Madrid,Valdeacederas,false,489000.0,6190.0,101101029,flat,Madrid,1,79.0,good,568637.182572614,low,2024-09-17
Carabanchel,"calle Eugenia de Montijo, 97",3,es,flat,false,1,false,Madrid,Buena Vista,false,315000.0,2143.0,101109186,flat,Madrid,3,147.0,good,277698.3312883436,high,2024-09-17
Chamartín,barrio El Viso,5,es,flat,true,6,true,Madrid,El Viso,false,2300000.0,8984.0,101133402,flat,Madrid,5,256.0,renew,1658541.416,high,2024-09-17
Chamartín,"calle de Sta Hortensia, 58",2,es,flat,true,5,true,Madrid,Prosperidad,true,950000.0,7037.0,101159596,penthouse,Madrid,2,135.0,newdevelopment,1658541.416,low,2024-09-17
Moncloa,barrio El Plantío,6,es,chalet,,,,Madrid,El Plantío,false,2300000.0,4406.0,101171851,chalet,Madrid,5,522.0,good,1540750.6917562725,high,2024-09-17
Hortaleza,avenida de los Madroños,5,es,flat,true,1,true,Madrid,Conde Orgaz-Piovera,false,1795000.0,5295.0,101211617,flat,Madrid,4,339.0,good,1239664.2406015038,high,2024-09-17
,calle Ernest Lluch s/n,3,es,chalet,,,,Mejorada del Campo,,true,361394.0,1643.0,101218530,chalet,Madrid,4,220.0,newdevelopment,,medium,2024-09-17
Centro,covadonga,1,es,flat,true,0,true,Leganés,Vírgenes,false,149000.0,3170.0,101220149,flat,Madrid,1,47.0,good,769398.6464032421,low,2024-09-17
Centro,calle de Velarde,2,es,flat,true,3,true,Madrid,Malasaña-Universidad,false,690000.0,5702.0,101232778,flat,Madrid,2,121.0,good,769398.6464032421,low,2024-09-17
Retiro,calle de Máiquez,2,es,flat,true,1,true,Madrid,Ibiza,false,930000.0,7686.0,101244213,flat,Madrid,4,121.0,good,1033324.8743718592,medium,2024-09-17
Tetuán,paseo de la Castellana,3,es,flat,true,1,true,Madrid,Cuzco-Castillejos,false,950000.0,7480.0,101247375,flat,Madrid,3,127.0,good,568637.182572614,high,2024-09-17
Carabanchel,"calle VALENTIN LLAGUNO, 32",2,es,flat,true,0,true,Madrid,San Isidro,true,450000.0,3947.0,101255185,flat,Madrid,2,114.0,newdevelopment,277698.3312883436,high,2024-09-17
Carabanchel,"calle VALENTIN LLAGUNO, 32",1,es,flat,true,,true,Madrid,San Isidro,true,355000.0,4494.0,101255217,penthouse,Madrid,1,79.0,newdevelopment,277698.3312883436,high,2024-09-17
Carabanchel,"calle VALENTIN LLAGUNO, 32",2,es,flat,true,0,true,Madrid,San Isidro,true,450000.0,4018.0,101255247,flat,Madrid,2,112.0,newdevelopment,277698.3312883436,high,2024-09-17
Centro,avenida de la Constitucion,2,es,flat,true,4,true,Móstoles,,false,205500.0,1742.0,101263168,flat,Madrid,4,118.0,renew,769398.6464032421,low,2024-09-17
Getafe norte,calle Concha Espina,2,es,flat,true,1,true,Getafe,,false,311650.0,2149.0,101302679,flat,Madrid,3,145.0,good,364352.5,low,2024-09-17
Getafe Centro,calle de la Magdalena,2,es,flat,true,0,true,Getafe,,false,255000.0,2684.0,101303321,flat,Madrid,4,95.0,good,256959.12,medium,2024-09-17
Centro,calle de la Cruz,6,es,flat,true,1,false,Madrid,Huertas-Cortes,false,1900000.0,8837.0,101308841,flat,Madrid,7,215.0,good,769398.6464032421,high,2024-09-17
Chamberí,calle de Ponzano,1,es,flat,false,2,true,Madrid,Nuevos Ministerios-Ríos Rosas,false,430000.0,6143.0,101310967,flat,Madrid,2,70.0,good,1240040.1756756757,low,2024-09-17
Centro,barrio Palacio,2,es,flat,true,1,true,Madrid,Palacio,false,990000.0,6972.0,101311715,flat,Madrid,2,142.0,good,769398.6464032421,high,2024-09-17
San Nicasio - Campo de Tiro - Solagua,"avenida Vicente Ferrer, 8",2,es,flat,true,3,true,Leganés,Poza del Agua,true,393211.0,3449.0,101321459,flat,Madrid,3,114.0,newdevelopment,360424.4,medium,2024-09-17
Moratalaz,calle del Camino de los Vinateros,2,es,flat,true,3,false,Madrid,Vinateros,false,268000.0,3153.0,101324566,flat,Madrid,4,85.0,good,271022.0,medium,2024-09-17
Somosaguas,barrio Somosaguas,9,es,chalet,,,,Pozuelo de Alarcón,Somosaguas,false,5900000.0,5478.0,101340225,chalet,Madrid,9,1077.0,good,1852000.0,high,2024-09-17
Golf - El Carralero,calle de Sorolla,3,es,flat,true,1,true,Majadahonda,,false,815000.0,4910.0,101344199,flat,Madrid,4,166.0,good,728655.5555555555,high,2024-09-17
Latina,calle Jaime Tercero,1,es,flat,false,0,false,Madrid,Puerta del Ángel,false,198500.0,3970.0,101353399,flat,Madrid,2,50.0,good,292681.8390804598,low,2024-09-17
Chamartín,calle Pedro de Valdivia,5,es,flat,true,6,true,Madrid,El Viso,false,2300000.0,8679.0,101354432,flat,Madrid,5,265.0,good,1658541.416,high,2024-09-17
Calle Pinto-San Roque,"calle Calderillo, 28",2,es,flat,true,3,true,Parla,,true,183000.0,2773.0,101354908,flat,Madrid,2,66.0,newdevelopment,165582.33333333334,high,2024-09-17
Chamberí,calle del General Arrando,2,es,flat,true,1,true,Madrid,Almagro,false,990000.0,10532.0,101368121,flat,Madrid,2,94.0,renew,1240040.1756756757,low,2024-09-17
Barrio de Salamanca,calle de Castelló,3,es,flat,true,2,true,Madrid,Recoletos,false,2150000.0,11257.0,101387251,flat,Madrid,4,191.0,good,1569158.038243626,high,2024-09-17
